project_id,model_id,experiment_id,time_bounds,ensemble_member,variable,season,mask,mean,height_correction,model_member,RCM,GCM,Domain
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp26,2070-01-01 to 2099-12-31,r1i1p1,pr,SON,deutschland,2.95938e-05,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp45,1981-01-01 to 2010-12-31,r1i1p1,tas,ANN,deutschland,280.998,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp45,1981-01-01 to 2010-12-31,r1i1p1,tas,DJF,deutschland,272.8159,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp45,1981-01-01 to 2010-12-31,r1i1p1,tas,MAM,deutschland,279.7537,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp45,1981-01-01 to 2010-12-31,r1i1p1,tas,JJA,deutschland,290.1539,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp45,1981-01-01 to 2010-12-31,r1i1p1,tas,SON,deutschland,281.113,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp45,1981-01-01 to 2010-12-31,r1i1p1,snw,ANN,deutschland,4.217124,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp45,1981-01-01 to 2010-12-31,r1i1p1,snw,DJF,deutschland,11.00811,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp45,1981-01-01 to 2010-12-31,r1i1p1,snw,MAM,deutschland,5.603,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp45,1981-01-01 to 2010-12-31,r1i1p1,snw,JJA,deutschland,0.1660763,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp45,1981-01-01 to 2010-12-31,r1i1p1,snw,SON,deutschland,0.1773588,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp45,1981-01-01 to 2010-12-31,r1i1p1,rsds,ANN,deutschland,139.8492,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp45,1981-01-01 to 2010-12-31,r1i1p1,rsds,DJF,deutschland,49.80042,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp45,1981-01-01 to 2010-12-31,r1i1p1,rsds,MAM,deutschland,179.9802,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp45,1981-01-01 to 2010-12-31,r1i1p1,rsds,JJA,deutschland,231.1381,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp45,1981-01-01 to 2010-12-31,r1i1p1,rsds,SON,deutschland,96.28185,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp45,1981-01-01 to 2010-12-31,r1i1p1,pr,ANN,deutschland,3.010363e-05,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
